truth_value,adarel,sarima,SVR,Gaussian
0.985611511,0,0,0,0
1,0,0,0,0
0.997226075,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.985865724,0,0,0,0
0.996692393,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.395768463,0,0,0,0
0.735155222,0,0,0,0
1,0,0,0,0
0.983050847,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.990654206,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.995505618,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.1002331,0,0,0,0
0.989583333,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.980952381,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.936,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.995867769,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.992537313,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.990762125,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.941176471,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.997368421,0,0,0,0
0.99263623,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.987951807,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.988235294,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.996233522,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.986027944,0,0,0,0
1,0,0,0,0
0.36038961,0.973440392,0.973440394,0.985283175,0.993279348
1,0.973164689,0.972800783,0.669401142,0.900466484
1,0.973164689,0.972800784,1,0.93296683
1,0.973164687,0.972800784,0.928593548,0.948982593
1,0.974100173,0.973736267,1,0.959589811
1,0.974100171,0.973736268,0.974153041,0.966374574
1,0.974100176,0.973736268,0.986282875,0.971279182
1,0.974100173,0.973736268,0.981391256,0.974977527
1,0.974100172,0.973736268,0.983581211,0.977854029
1,0.974151894,0.973787989,0.982836785,0.980177613
1,0.974154963,0.973791058,0.982803349,0.982047191
1,0.974154963,0.973791058,0.982629289,0.983591178
1,0.974154962,0.973791058,0.982923548,0.984884901
1,0.974154962,0.973791058,0.982820104,0.985981679
1,0.974154964,0.973791058,0.982851831,0.986920915
1,0.974154967,0.973791058,0.982667041,0.987732215
1,0.974168757,0.973804849,0.982618566,0.988446808
1,0.974168755,0.973804849,0.982695088,0.989067037
1,0.974168755,0.973804849,0.98267657,0.989613638
1,0.974207465,0.973843562,0.982578652,0.990120841
1,0.97424136,0.973877458,0.982991147,0.990576376
0.941176471,0.974241365,0.973877458,0.982627959,0.990969684
1,0.97418254,0.973818637,0.954237037,0.982768082
0.99047619,0.97418254,0.973818637,0.994693593,0.986038081
1,0.974173015,0.973809111,0.973482305,0.986414341
0.98630137,0.974173018,0.973809111,0.986409251,0.988059391
1,0.974159318,0.973795412,0.974692716,0.987159983
1,0.974159322,0.973795412,0.986127943,0.988656836
1,0.974159316,0.973795412,0.981539535,0.989635236
1,0.974159318,0.973795412,0.983411273,0.990363723
0.99375,0.974159319,0.973795412,0.98248014,0.990940087
1,0.974153071,0.973789162,0.979687319,0.990504436
1,0.974153071,0.973789162,0.984032627,0.991216178
0.997856377,0.974153071,0.973789162,0.982396849,0.991714352
1,0.974150922,0.973787018,0.981720676,0.991796361
1,0.974150928,0.973787018,0.983306122,0.992231287
1,0.978484261,0.973787018,0.98240177,0.992565268
1,0.974150923,0.973787018,0.983091856,0.99284285
1,0.97922101,0.973787018,0.982657005,0.99308161
1,0.979502294,0.973787018,0.982696632,0.993291134
1,0.979755452,0.973787018,0.982540628,0.993477484
1,0.979990387,0.973787018,0.98308357,0.993644838
1,0.980212013,0.973787018,0.982528326,0.993796232
1,0.980423086,0.973787018,0.982548807,0.993933957
1,0.980626008,0.973787018,0.982661127,0.994059782
0.998585573,0.98082209,0.973787018,0.98266858,0.994175098
0.996975806,0.981003044,0.973785604,0.982136559,0.994075492
1,0.981168807,0.973782582,0.981700005,0.993804294
1,0.981350496,0.973782581,0.983399043,0.994080415
1,0.981529153,0.973782579,0.98285954,0.994259649
0.991071429,0.981704073,0.973782579,0.982839146,0.994395785
1,0.981818988,0.973773651,0.978116718,0.993209685
1,0.981989144,0.973773651,0.984519506,0.993748366
1,0.982157735,0.973773651,0.982198769,0.994048847
1,0.974137559,0.973773654,0.983096763,0.99425094
1,0.974137559,0.973773651,0.982793806,0.994397389
0.925233645,0.974137561,0.973773651,0.982849406,0.994505963
1,0.974064802,0.973700899,0.946147376,0.98366834
1,0.974482349,0.974118446,0.998029271,0.98774393
1,0.981543638,0.974521801,0.977124245,0.98989022
1,0.974896123,0.974532218,0.985696041,0.991111747
1,0.974896127,0.974532218,0.98241568,0.990961399
0.988235294,0.974901773,0.97453787,0.983711313,0.992579291
1,0.982130207,0.974526106,0.977214046,0.991358388
1,0.974890007,0.974526106,0.985519105,0.992320575
0.99047619,0.98242258,0.974549359,0.982529368,0.99293366
1,0.982519445,0.974539835,0.978900474,0.991994273
0.990950226,0.9826771,0.974539835,0.984990201,0.992804258
1,0.982773604,0.974530785,0.978007386,0.992005696
1,0.98292765,0.974530785,0.985330408,0.992823923
1,0.983079732,0.974530787,0.982567754,0.993335317
1,0.983230132,0.974530785,0.983707109,0.993704852
1,0.974894689,0.974530785,0.98309422,0.993989626
1,0.983488807,0.974559359,0.983442483,0.994234688
1,0.974923262,0.974559357,0.983148996,0.99442355
1,0.983732496,0.974596394,0.98350036,0.994603533
1,0.983876857,0.974596394,0.983253022,0.994739632
1,0.984020176,0.974596394,0.983234418,0.994855691
1,0.98416257,0.974596394,0.983083724,0.9949545
1,0.984304094,0.974596394,0.983224594,0.995037975
1,0.984444475,0.974596394,0.983124077,0.995107193
1,0.984584771,0.974596394,0.983103605,0.995162424
1,0.984724363,0.974596394,0.983287171,0.995203156
1,0.984863433,0.974596394,0.982715409,0.995227166
1,0.984569687,0.975544588,0.984126857,0.995755989
1,0.984693444,0.975549155,0.984135248,0.995819201
0.930434783,0.984819089,0.975549155,0.983990319,0.995875402
1,0.984466499,0.975479587,0.949744056,0.985838152
1,0.984592841,0.975479587,0.998123888,0.989358056
1,0.984718154,0.975479587,0.978325977,0.991133369
1,0.98484274,0.975479587,0.986153258,0.992236186
1,0.984966257,0.975479587,0.983111489,0.992993138
1,0.985044175,0.975540814,0.984279165,0.993582398
1,0.985165663,0.975540814,0.984075735,0.99400915
1,0.985285884,0.975540814,0.98398706,0.99434619
1,0.985405847,0.975540814,0.9839122,0.994619046
1,0.985525161,0.975540814,0.983981881,0.99484433
1,0.985643615,0.975540814,0.984214221,0.995033327
1,0.975904717,0.975540814,0.984214345,0.995193944
1,0.98587932,0.975540814,0.984169623,0.995331824
0.995515695,0.975904717,0.975540814,0.984076259,0.995451116
1,0.975900232,0.975536327,0.981482329,0.994904542
1,0.975900232,0.97553633,0.985104161,0.995218087
1,0.9863148,0.97553633,0.983522628,0.995406343
1,0.976025231,0.975661328,0.984285629,0.99561575
1,0.986450181,0.975661328,0.983888927,0.995731174
0.98245614,0.986563295,0.975661328,0.98432565,0.995826935
1,0.986561372,0.975643784,0.975394725,0.993363945
1,0.976021388,0.975657482,0.987846534,0.994317978
1,0.986775512,0.975657482,0.98289413,0.994817315
0.989130435,0.976029523,0.975665613,0.984786595,0.99514576
1,0.976018647,0.975654745,0.97836511,0.993801726
1,0.987033998,0.975654745,0.986291066,0.994520204
