truth_values,gaussian,adarel,sarima,svr
1,0.897359642,0.610694459,0.58699521,0.887996938
0.54491099,0.662016887,0.58355132,0.57711285,0.448705086
0.54269326,0.505451406,0.584018414,0.57724913,0.405885565
0.62955032,0.461587002,0.560966359,0.57667439,0.673818151
0.61583578,0.449329213,0.636929203,0.63969324,0.801692784
0.55759804,0.435401048,0.645617959,0.63028332,0.656754508
0.58895706,0.464274747,0.612216533,0.59872247,0.663539252
0.60853769,0.513392626,0.615290609,0.61259666,0.698760985
0.6106383,0.561547923,0.661806164,0.66082013,0.744627432
0.62211982,0.607321068,0.684626123,0.703759,0.758162739
0.48780488,0.568753741,0.67549709,0.61598332,0.622424839
0.49236641,0.540050093,0.618242843,0.54458568,0.625033537
0.34079602,0.436278855,0.964839958,0.88812157,0.477514399
1,0.706534892,0.970871788,0.96958756,1
1,0.895605252,0.975864714,0.99180355,1
1,1,0.980028091,0.99777043,0.863457385
1,1,0.983528373,0.99939303,0.779175012
1,1,0.986415091,0.99984566,0.881294708
1,1,0.988629992,0.99995667,0.912859922
1,1,0.99062336,0.99999305,0.900881211
1,1,0.992205853,1,0.869181014
1,0.969042967,0.993495184,1,0.872743369
1,0.936225179,0.994593425,1,0.878954543
1,0.912718718,0.995556392,1,0.884583572
1,0.899715262,0.607366032,0.58526838,0.887294309
0.73385013,0.757833092,0.616499961,0.63249638,0.776389054
0.69918699,0.648764406,0.641094938,0.64497408,0.752264107
0.61270492,0.542593758,0.603488791,0.59143696,0.704907234
0.63902439,0.501825918,0.672885043,0.64672837,0.727204452
0.82733813,0.594630789,0.724966083,0.71609055,0.758864826
0.79322034,0.663418328,0.714745708,0.68795606,0.784019401
0.68380463,0.667321232,0.712117452,0.66079648,0.798345276
0.58959538,0.626918106,0.73588161,0.66694727,0.690695718
0.48888889,0.549199707,0.772532994,0.65973064,0.602940934
0.42358079,0.463541387,0.763117388,0.57815952,0.549035714
0.32857143,0.358413595,0.699810295,0.46471628,0.463879473
0.37601297,0.316709772,1,0.88758099,0.552832507
1,0.624079577,1,0.97218683,1
1,0.849380056,1,0.99310055,1
1,0.999725804,1,0.99824436,0.823624772
1,1,1,0.99959483,0.78420571
1,1,1,0.9998981,0.896609267
