truth_values,adarel,svr,rf
1,1,0.998797399,0.997241815
1,1,0.998797399,0.99724547
1,1,0.998797399,0.997249094
1,1,0.998797399,0.997252877
1,1,0.998797399,0.997256447
1,1,0.998797399,0.997259756
1,1,0.998797399,0.99726314
1,1,0.998797399,0.997266897
1,1,0.998797399,0.997269967
1,1,0.998797399,0.997273778
1,0.995989861,0.998797399,0.997276726
1,1,0.998797399,0.997280613
1,1,0.998797399,0.99728356
1,1,0.998797399,0.997286881
1,1,0.998797399,0.997290593
1,1,0.998797399,0.997294121
1,1,0.998797399,0.99729799
1,0.999680248,0.998797399,0.997301008
1,1,0.998797399,0.997304193
1,1,0.998797399,0.997308238
1,1,0.998797399,0.997311213
1,1,0.998797399,0.99731538
1,1,0.998797399,0.997318766
1,0.999340009,0.998797399,0.997321767
1,1,0.998797399,0.997325402
1,0.999722705,0.998797399,0.997328307
1,1,0.998797399,0.997332216
1,1,0.998797399,0.997335252
1,1,0.998797399,0.99733874
1,1,0.998797399,0.997341841
1,0.999898992,0.998797399,0.997345584
1,1,0.998797399,0.997348714
1,1,0.998797399,0.997352067
1,1,0.998797399,0.997355541
1,1,0.998797399,0.997359042
1,1,0.998797399,0.997362191
1,1,0.998797399,0.997365348
1,1,0.998797399,0.997368804
1,1,0.998797399,0.997372282
1,1,0.998797399,0.997375444
1,1,0.998797399,0.997378223
1,1,0.998797399,0.997381725
1,1,0.998797399,0.997385153
1,,0.998797399,0.997388462
1,1,0.998797399,0.997391269
1,1,0.998797399,0.997393788
1,0.999666841,0.998797399,0.997396626
1,1,0.998797399,0.997399953
1,1,0.998797399,0.997403451
1,1,0.998797399,0.997406476
1,1,0.998797399,0.997409893
1,1,0.998797399,0.997412959
1,1,0.998797399,0.997416005
1,1,0.998797399,0.99741909
1,1,0.998797399,0.997421991
1,1,0.998797399,0.997425368
1,1,0.998797399,0.997428517
1,1,0.998797399,0.997431985
1,1,0.998797399,0.997435043
1,1,0.998797399,0.997437896
1,1,0.998797399,0.997440994
1,1,0.998797399,0.997444206
1,1,0.998797399,0.997447862
1,1,0.998797399,0.997451167
1,1,0.998797399,0.997454232
1,1,0.998797399,0.997456993
1,1,0.998797399,0.997459807
1,1,0.998797399,0.997462937
1,1,0.998797399,0.997465888
1,1,0.998797399,0.997468885
1,1,0.998797399,0.997471779
1,1,0.998797399,0.997474955
1,1,0.998797399,0.99747777
1,1,0.998797399,0.997480068
1,0.999545608,0.998797399,0.997483302
1,1,0.998797399,0.997486399
1,1,0.998797399,0.997489342
1,1,0.998797399,0.997492218
1,0.999696707,0.998797399,0.997494609
1,1,0.998797399,0.997497836
1,1,0.998797399,0.99750093
1,1,0.998797399,0.997503876
1,1,0.998797399,0.99750692
1,1,0.998797399,0.997510555
1,1,0.998797399,0.997513226
1,1,0.998797399,0.99751608
1,1,0.998797399,0.997519093
1,1,0.998797399,0.997522189
1,1,0.998797399,0.997525173
1,1,0.998797399,0.99752833
1,1,0.998797399,0.997530802
1,1,0.998797399,0.997533691
1,1,0.998797399,0.99753674
1,1,0.998797399,0.997539867
1,1,0.998797399,0.997542962
1,1,0.998797399,0.997545726
1,1,0.998797399,0.997548689
1,1,0.998797399,0.997551879
1,1,0.998797399,0.997554802
1,1,0.998797399,0.99755775
1,1,0.998797399,0.997560411
1,1,0.998797399,0.997563287
1,1,0.998797399,0.997566062
1,1,0.998797399,0.997568453
1,1,0.998797399,0.997571387
1,1,0.998797399,0.997574607
1,1,0.998797399,0.997576964
1,1,0.998797399,0.997579757
1,1,0.998797399,0.997582525
1,1,0.998797399,0.997585354
1,1,0.998797399,0.99758794
1,1,0.998797399,0.997590776
1,1,0.998797399,0.997593261
1,1,0.998797399,0.997595491
1,1,0.998797399,0.997598261
1,1,0.998797399,0.997601191
1,1,0.998797399,0.997603472
1,1,0.998797399,0.997606148
1,1,0.998797399,0.997609139
1,1,0.998797399,0.997611886
1,1,0.998797399,0.997614562
1,1,0.998797399,0.997616432
1,1,0.998797399,0.99761955
1,1,0.998797399,0.997621977
1,1,0.998797399,0.997624833
1,1,0.998797399,0.997627591
1,1,0.998797399,0.997630319
1,1,0.998797399,0.99763283
1,1,0.998797399,0.997635418
1,1,0.998797399,0.997637609
1,1,0.998797399,0.997640023
