,timestamp,true value,ses,arima,svr,nn,rf,gpr,prophet,silverkite,adarel
1089,2/25/17 17:00,0.959667071,0.923010874,0.975326009,0.987895254,0.962703457,0.978517533,0.936251551,0.982540829,0.980083321,0.922896726
1090,2/25/17 18:00,0.955525295,0.943415841,0.975293358,0.987398497,0.941260887,0.97843074,0.9388228,0.984747502,0.980619191,0.943467172
1091,2/25/17 19:00,0.908331286,0.950162768,0.975257289,0.986744239,0.906655047,0.972992023,0.940444353,0.983825738,0.981457951,0.950194413
1092,2/25/17 20:00,0.845929256,0.926940834,0.97517267,0.986548375,0.88692677,0.94038247,0.933349717,0.980047013,0.981060563,0.926848304
1093,2/25/17 21:00,0.828122818,0.881675434,0.975029929,0.986699551,0.89888782,0.950122121,0.915585216,0.978194221,0.981257623,0.907030532
1094,2/25/17 22:00,0.844629008,0.851098948,0.974867893,0.98688004,0.907465638,0.97741841,0.896229368,0.978081336,0.98124541,0.897935145
1095,2/25/17 23:00,0.863902682,0.847449279,0.97471953,0.987633326,0.953771907,0.977358034,0.881749166,0.97854414,0.980890447,0.89361418
1096,2/26/17 0:00,0.934170298,0.856751051,0.974595609,0.988108261,0.976495423,0.978600428,0.872371726,0.977924176,0.982072483,0.891440742
1097,2/26/17 1:00,0.978326702,0.900825207,0.974535899,0.988245107,0.983315157,0.978753625,0.877136152,0.977453586,0.980739324,0.915520013
1098,2/26/17 2:00,0.990550607,0.945717382,0.974600242,0.988211055,0.982244814,0.978553533,0.911612482,0.97939254,0.981441448,0.951121065
1099,2/26/17 3:00,0.987326921,0.972199119,0.974601098,0.987991736,0.97102424,0.978571604,0.918348782,0.982044571,0.982026481,0.973833958
1100,2/26/17 4:00,0.96870581,0.981150052,0.974595417,0.987874873,0.964271877,0.978672718,0.929533805,0.983419499,0.980288981,0.981589395
1101,2/26/17 5:00,0.95884741,0.973852552,0.974567987,0.987885851,0.966994708,0.978659364,0.929931638,0.979291695,0.980759168,0.974209459
1102,2/26/17 6:00,0.961303977,0.965083759,0.974529698,0.987484815,0.949535792,0.978456591,0.930261235,0.972500219,0.980434415,0.965428135
1103,2/26/17 7:00,0.927305538,0.962875481,0.97449384,0.988145932,0.981515762,0.978257569,0.930301067,0.965426334,0.978741701,0.963070382
1104,2/26/17 8:00,0.986697606,0.942081036,0.974425625,0.987915258,0.969805564,0.978347239,0.931571951,0.965601179,0.977216556,0.942626125
1105,2/26/17 9:00,0.966629248,0.968113868,0.974420911,0.987838497,0.966733633,0.978339794,0.94316003,0.995962201,0.978862105,0.967762042
1106,2/26/17 10:00,0.960622155,0.967251345,0.974393104,0.988122493,0.982382287,0.978149967,0.94851393,0.998659071,0.978659887,0.967115999
1107,2/26/17 11:00,0.987573368,0.963388532,0.974357702,0.988053725,0.979265999,0.978110692,0.952230338,0.998695165,0.9786883,0.963418115
1108,2/26/17 12:00,0.98329934,0.977458479,0.97434765,0.988021643,0.983251003,0.978293824,0.960684924,0.975610174,0.978572574,0.977124703
1109,2/26/17 13:00,0.986313023,0.980816183,0.974334688,0.987317669,0.94590062,0.977298157,0.967499403,0.971635795,0.978538864,0.980607986
1110,2/26/17 14:00,0.924945175,0.984109611,0.974325204,0.987112166,0.930331304,0.977079848,0.974164462,0.968117835,0.978464954,0.983955625
1111,2/26/17 15:00,0.906750496,0.949649493,0.97435323,0.987829828,0.972267201,0.978168626,0.968016703,0.968186015,0.978463679,0.950354393
1112,2/26/17 16:00,0.970426543,0.924516886,0.974355467,0.987278617,0.942400062,0.978245257,0.95915778,0.973416662,0.978441677,0.925347661
1113,2/26/17 17:00,0.923300268,0.951275708,0.97433467,0.986972115,0.932252973,0.974631357,0.962965244,0.977397311,0.978435763,0.951047565
1114,2/26/17 18:00,0.899425022,0.935063296,0.974262625,0.986060817,0.877561159,0.889345949,0.95751157,0.981792647,0.97843755,0.935323884
1115,2/26/17 19:00,0.820561508,0.914359356,0.974165241,0.986632017,0.920786139,0.972545865,0.948111724,0.977479666,0.97837949,0.914920188
1116,2/26/17 20:00,0.871759512,0.859284339,0.973988675,0.986828256,0.923580708,0.971830061,0.925227652,0.977865669,0.978349452,0.900085058
1117,2/26/17 21:00,0.890614616,0.866657935,0.973866143,0.985878108,0.878375469,0.892163686,0.913794757,0.980066739,0.978352621,0.893307712
1118,2/26/17 22:00,0.810365763,0.880646622,0.973759535,0.985912652,0.884271987,0.890224325,0.906859526,0.981323884,0.978344754,0.891759305
1119,2/26/17 23:00,0.815145443,0.839690978,0.973574629,0.987896392,0.97928912,0.977881263,0.885948723,0.983048153,0.97832313,0.889402798
1120,2/27/17 0:00,0.983726473,0.825290075,0.973393041,0.98774594,0.972093662,0.978090074,0.89362033,0.982122001,0.978348299,0.88794401
1121,2/27/17 1:00,0.971699243,0.916403001,0.973381623,0.987666352,0.969398003,0.97792032,0.882844306,0.97923681,0.97826231,0.942456342
1122,2/27/17 2:00,0.96682869,0.949230953,0.973358935,0.986806644,0.935041972,0.962922306,0.905761482,0.978939887,0.978246623,0.959370765
1123,2/27/17 3:00,0.899519442,0.959658085,0.973330324,0.987172827,0.950071406,0.977153797,0.92104705,0.982326915,0.978293646,0.963667416
1124,2/27/17 4:00,0.931586896,0.924591443,0.973235167,0.987495683,0.965903716,0.976510872,0.920018054,0.980749128,0.978186023,0.926993652
1125,2/27/17 5:00,0.960356471,0.928655643,0.973171599,0.987137044,0.955288718,0.977495855,0.919736458,0.971597275,0.978089949,0.92963675
1126,2/27/17 6:00,0.943143223,0.947055079,0.973136932,0.987692485,0.976255816,0.977417155,0.911622819,0.960674794,0.977974982,0.947129357
1127,2/27/17 7:00,0.978056579,0.944784052,0.97308751,0.987287175,0.963163389,0.9773321,0.913264683,0.951250492,0.977837477,0.944859549
1128,2/27/17 8:00,0.956330978,0.964100509,0.97307053,0.987618937,0.974082403,0.977287799,0.918280688,0.966240848,0.977575022,0.963762178
1129,2/27/17 9:00,0.974820648,0.959588198,0.97303316,0.987255249,0.963007867,0.976789984,0.92117733,0.970342559,0.977745623,0.959529061
1130,2/27/17 10:00,0.955060031,0.968429505,0.973014598,0.987465091,0.972503937,0.977156307,0.921876274,0.978382947,0.977788753,0.968234722
